sample,index,pos,tofFirst,peakAmp,energy,rms,snr_dB,peakFreq,centroid,bw,depth
sample1,0,0,9.418e-07,0.0322483018667729,5.00998127760426e-09,0.00527572073938364,18.5949954290674,999999.999997807,20986136.6460424,1799999.99999605,NaN
sample1,1,0.001,1.4958e-06,0.0216584194320106,3.79833016131492e-09,0.00459367328284033,15.9931914619327,1005555.55555335,21286301.1519186,16666.6666666303,NaN
sample1,2,0.002,9.918e-07,0.0299089968970606,5.52941178769214e-09,0.00554246825665246,18.381205477939,1005555.55555335,21097495.1846883,5555.5555555434,NaN
sample1,3,0.003,1.3418e-06,0.0295816100618115,5.25259105953769e-09,0.00540194978149668,18.0382001398705,1005555.55555335,21047416.5710564,16666.6666666303,NaN
sample1,4,0.004,9.738e-07,0.0278813168393048,4.74618884859882e-09,0.00513495042093798,17.5002249977934,1005555.55555335,21228060.8670424,5555.5555555434,NaN
sample1,5,0.005,5.6938e-06,0.0211164591143241,2.9332764340117e-09,0.00403682798604525,16.0480096796897,611111.111109771,22290603.1909823,399999.999999123,NaN
sample1,6,0.006,3.3858e-06,0.022948417628083,2.90374762200375e-09,0.00401645754780488,16.525793468083,611111.111109771,21725039.1135957,399999.999999123,NaN
sample1,7,0.007,7.8658e-06,0.0196077401001008,2.87805160348281e-09,0.00399864671793714,15.2587280670221,611111.111109771,22115865.9956188,399999.999999123,NaN
sample1,8,0.008,2.62238e-05,0.0159610418707283,2.12801556287759e-09,0.00343835842846951,15.1880420857012,611111.111109771,22882561.9268607,399999.999999123,NaN
sample1,9,0.009,5.6878e-06,0.0188385299006241,2.08068116174612e-09,0.00339990290853329,15.3520859852837,611111.111109771,22808461.3239894,399999.999999123,NaN
sample1,10,0.01,1.59638e-05,0.0175695603178631,1.98934404317162e-09,0.00332444150962672,14.7353505717806,611111.111109771,22801092.2573038,399999.999999123,NaN
sample2,0,0,4.4738e-06,0.0198215009307867,2.82620648522837e-09,0.00396246730461252,15.8038551623337,616666.666665314,22177864.191028,605555.555554228,NaN
sample2,1,0.001,1.25398e-05,0.0209915490061623,2.64057605148197e-09,0.0038301262319466,17.1470414982827,494444.44444336,22091487.7817985,605555.555554228,NaN
sample2,2,0.002,4.0698e-06,0.0238819955321648,2.62647016379451e-09,0.00381988231624189,15.0325055600176,494444.44444336,21855182.4888514,883333.333331397,NaN
sample2,3,0.003,NaN,0.0156568842974687,1.99660814486311e-09,0.0033305055879607,13.4539227204055,494444.44444336,22506417.5240627,1761111.11110725,NaN
sample2,4,0.004,5.1178e-06,0.0222700615091919,3.00617773262192e-09,0.00408668415753144,17.0020455281672,494444.44444336,21894939.47881,588888.888887598,NaN
sample2,5,0.005,1.2938e-06,0.0288834564338042,4.27877104366522e-09,0.00487554614812869,18.7127666073082,494444.44444336,21144002.2957708,588888.888887598,NaN
sample2,6,0.006,2.0878e-06,0.020329047719461,2.90556117928228e-09,0.00401771160631682,16.7237677996658,494444.44444336,21831246.6748378,738888.888887269,NaN
sample2,7,0.007,6.6158e-06,0.0243196366079449,3.26863481437962e-09,0.00426134747492729,15.6516585773213,494444.44444336,21344368.1785616,5555.55555554334,NaN
sample2,8,0.008,2.1038e-06,0.0237812922292545,3.37211530009019e-09,0.00432827608746818,16.7966972014566,494444.44444336,21762414.5246881,738888.888887269,NaN
sample2,9,0.009,6.3238e-06,0.0190694970224017,2.52353834822218e-09,0.00374428330793658,15.8005165534435,494444.44444336,22292069.2866426,738888.888887269,NaN
sample2,10,0.01,2.6838e-06,0.0194270226378408,2.6996393506731e-09,0.00387272467296546,16.2136563017785,494444.44444336,22088764.1978349,1755555.55555171,NaN
