sample,mean_tofFirst,std_tofFirst,mean_peakAmp,std_peakAmp,mean_energy,std_energy,mean_rms,std_rms,mean_snr_dB,std_snr_dB,mean_peakFreq,std_peakFreq,mean_centroid,std_centroid,mean_bw,std_bw
sample1,6.41507272727273e-06,7.96748092047805e-06,0.0233927630935167,0.00558502795018067,3.56814723291286e-09,1.35290188498704e-09,0.00437849068906617,0.000846785341998336,16.5105297603785,1.39458700686816,789898.989897258,205417.644153458,21842639.4753726,763575.282773413,385858.58585774,506247.168174866
sample2,4.731e-06,3.29332404856991e-06,0.0216756312660438,0.00349844612927732,2.92220896493659e-09,5.84056721580153e-10,0.00401177771782147,0.000392615806665521,16.2125848645619,1.34179599800129,505555.555554447,36851.3865594237,21908068.7838988,397014.185305747,819191.919190123,514471.823342571
